Index,Name,Label,GEOID,POP,Male,Female,White,Black,Hispanic,Asian,Children,YoungAdults,MiddleAgedAdults,Seniors
0,Chicago,Chicago,1714000,"2,709,534","1,317,791","1,391,743","901,769","802,460","780,167","179,530","566,327","1,011,340","794,898","336,969"
1,Albany Park,AlbanyPk,14,49942,25196,24745,16126,2727,22414,7512,"11,184",19084,14613,5060
2,Archer Heights,ArcherHts,57,13816,7092,6724,2119,215,10701,834,"4,148",4358,3552,1758
3,Armour Square,ArmourSq,34,13585,6593,6992,1913,1133,611,9875,"2,280",3505,4437,3364
4,Ashburn,Ashburn,70,43538,20585,22953,4123,20083,17969,426,"11,390",12361,14673,5114
5,Auburn Gresham,AubGresham,71,45992,21091,24902,526,44042,1005,163,"10,511",12232,15010,8240
6,Austin,Austin,25,93941,43288,50652,5299,73408,14292,468,"22,827",28781,28954,13379
7,Avalon Park,AvalonPk,45,9589,4129,5460,93,9270,9,68,"1,699",2508,3268,2114
8,Avondale,Avondale,21,38127,19144,18983,13239,982,21474,1624,"7,874",16410,10158,3685
9,Belmont Cragin,BelCrag,19,78649,39124,39525,10426,2727,63790,1616,"20,987",24964,25118,7581
10,Beverly,Beverly,72,19827,9384,10443,11365,6862,978,160,"4,490",4349,7512,3475
11,Bridgeport,Bridgeport,60,34484,17160,17324,11778,1067,7564,13725,"6,368",12151,11417,4548
12,Brighton Park,BrightonPk,58,44347,22871,21476,3037,1116,35775,4525,"12,593",15450,12057,4248
13,Burnside,Burnside,47,1997,989,1008,10,1922,39,0,266,594,608,529
14,Calumet Heights,CalumetHts,48,12799,5686,7113,143,12127,476,9,"2,100",3026,4722,2951
15,Chatham,Chatham,44,31122,14070,17052,586,29861,263,126,"6,676",8743,10737,4966
16,Chicago Lawn,ChiLawn,66,51182,24180,27003,1522,22410,26413,263,"14,205",16730,13934,6313
17,Clearing,Clearing,64,25018,12185,12833,10450,602,13540,137,"6,331",7772,7841,3075
18,Douglas,Douglas,35,18763,8558,10206,2256,12854,692,2380,"3,461",7892,4599,2812
19,Dunning,Dunning,17,43401,21080,22321,27052,1008,12842,2594,"8,887",11727,15143,7644
20,East Garfield Park,EGarfieldPk,27,18951,8571,10380,1127,16831,545,120,"5,669",5967,5387,1928
21,East Side,ESide,52,23449,11538,11911,3227,957,19179,107,"7,038",6958,6851,2602
22,Edgewater,Edgewater,77,48691,25170,23521,28217,5506,7633,5677,"5,376",20119,15648,7547
23,Edison Park,EdisonPk,9,11255,5547,5707,9374,42,1130,387,"2,416",2881,4121,1837
24,Englewood,Englewood,68,22875,10748,12127,140,21718,845,68,"6,145",6492,6954,3283
25,Forest Glen,ForestGlen,12,19362,9180,10181,13602,232,2934,2080,"4,904",4135,6765,3557
26,Fuller Park,FullerPk,37,2397,1175,1222,90,2155,138,3,422,615,727,632
27,Gage Park,GagePk,63,37205,18721,18483,1474,1597,33997,296,"11,297",12645,9824,3439
28,Garfield Ridge,GarfieldRidge,56,37114,18582,18532,15531,2023,18936,445,"8,969",10205,12136,5804
29,Grand Boulevard,GrandBlvrd,38,22637,9396,13241,816,20751,513,169,"5,416",6763,7044,3413
30,Greater Grand Crossing,GGCrossing,69,30215,13389,16827,305,28958,525,4,"7,196",9291,9380,4348
31,Hegewisch,Hegewisch,55,9003,4635,4368,3154,389,5440,22,"1,834",2505,2981,1683
32,Hermosa,Hermosa,20,23534,12278,11256,2519,1360,19406,579,"5,490",8165,7382,2496
33,Humboldt Park,HumboltPk,23,55049,26463,28586,4261,18276,32103,393,"14,975",18204,16598,5273
34,Hyde Park,HydePk,41,22488,10760,11728,10966,5722,1610,3302,"2,610",11463,5231,3183
35,Irving Park,IrvingPk,16,53468,26623,26846,22872,1913,22403,4614,"10,607",19401,17820,5640
36,Jefferson Park,JeffersonPk,11,27475,13318,14157,17046,313,6797,2631,"5,620",8049,9402,4404
37,Kenwood,Kenwood,39,14201,6396,7805,2741,9771,394,785,"2,906",4815,4236,2244
38,Lake View,LakeView,6,90172,46001,44171,69986,3611,7770,6305,"11,224",53598,18645,6705
39,Lincoln Park,LicolnPk,7,62535,31882,30654,49044,3242,3923,4590,"9,139",33660,13930,5807
40,Lincoln Square,LincolnSq,4,42034,20499,21535,27105,1582,7609,3889,"7,123",18126,12874,3912
41,Logan Square,LoganSq,22,72410,36790,35620,36233,3495,28416,2920,"12,864",36710,17704,5133
42,Loop,Loop,32,35958,17401,18557,22439,2711,3095,6626,"2,103",21457,8792,3607
43,Lower West Side,LowerWSide,31,33050,16990,16060,6920,1275,23156,1372,"6,372",14594,8841,3243
44,McKinley Park,McKinleyPk,59,15188,7541,7648,2636,261,8560,3620,"3,410",4942,5139,1698
45,Montclare,Montclare,18,14305,6747,7558,4504,393,8566,459,"3,149",4347,4384,2425
46,Morgan Park,MorganPk,75,21595,9640,11955,6567,13379,1065,68,"4,804",5113,7681,3997
47,Mount Greenwood,MtGreenwood,74,19197,9355,9842,15897,725,2015,354,"4,687",5519,6593,2398
48,Near North Side,NearNSide,8,84576,39798,44778,59188,7582,4893,10937,"6,402",43140,21336,13697
49,Near South Side,NearSSide,33,19810,8559,11251,10478,4958,1070,2841,"2,438",8110,7063,2200
50,Near West Side,NearWSide,28,63280,30839,32442,27328,17077,5918,11286,"9,467",34521,14673,4618
51,New City,NewCity,61,39458,20173,19285,4988,9322,24279,767,"10,615",13064,11008,4772
52,North Center,NCenter,5,35603,17357,18246,27650,788,4100,1771,"9,154",12963,10569,2916
53,North Lawndale,NLawndale,29,32086,14468,17619,1160,27739,2998,63,"8,629",10832,9174,3452
54,North Park,NorthPk,13,18897,9059,9837,9125,525,3795,4774,"4,273",5489,5390,3744
55,Norwood Park,NorwoodPk,10,38676,18630,20046,29986,382,5744,1644,"7,636",10340,13210,7491
56,O'Hare,OHare,76,15655,8274,7381,10613,356,2741,1727,"2,776",5802,4711,2366
57,Oakland,Oakland,36,4425,1922,2504,110,4064,187,61,"1,436",1245,1338,407
58,Portage Park,PortagePk,15,64579,31811,32768,30291,1128,27983,3607,"13,661",19847,22792,8278
59,Pullman,Pullman,50,6881,3030,3851,681,5612,380,9,"1,268",2113,2422,1078
60,Riverdale,Riverdale,54,7326,2571,4755,95,6979,266,22,"3,019",2462,1488,356
61,Rogers Park,RogersPk,1,52553,26185,26368,22519,14855,10659,2607,"9,802",21570,16430,4750
62,Roseland,Roseland,49,39253,18449,20804,558,37606,461,165,"8,896",10921,12335,7101
63,South Chicago,SChi,46,28332,12594,15739,818,21742,5707,81,"7,769",8081,8437,4045
64,South Deering,SDeering,51,15488,6574,8914,610,10129,4794,0,"4,307",4587,4159,2435
65,South Lawndale,SLawndale,30,72091,41284,30808,3112,9377,59901,106,"19,116",27749,18529,6697
66,South Shore,SShore,43,43755,18820,24935,870,41389,1138,84,"10,741",13683,13636,5696
67,Uptown,Uptown,3,53663,27766,25897,29084,9790,8069,5390,"6,918",23801,16733,6212
68,Washington Heights,WashHts,73,26635,11778,14857,374,25640,305,43,"5,601",6971,9206,4857
69,Washington Park,WashingtonPk,40,10969,4498,6471,121,10202,263,0,"3,382",3841,2904,843
70,West Elsdon,WElsdon,62,18993,9239,9753,2752,318,15363,533,"5,236",6452,5369,1936
71,West Englewood,WEnglewood,67,26568,12280,14287,428,23106,2723,27,"6,176",7061,7992,5339
72,West Garfield Park,WGarfieldPk,26,16415,7893,8521,407,15305,490,0,"4,841",5010,4607,1956
73,West Lawn,WLawn,65,31800,16451,15349,4018,941,26689,191,"9,078",10126,9278,3318
74,West Pullman,WPullman,53,26700,12302,14398,212,24523,1547,0,"6,594",7742,8109,4256
75,West Ridge,WRidge,2,78444,38814,39630,31832,9231,14823,18772,"20,615",23426,23949,10454
76,West Town,WTown,24,84715,43951,40764,53903,6244,18644,4375,"11,486",48627,19560,5043
77,Woodlawn,Woodlawn,42,22923,10084,12838,1857,19048,812,857,"5,253",8309,6598,2762